Rk,Date,Tm,Opp,GS,MP,FG,FGA,FG_percent,ThreeP,ThreePA,ThreeP_percent,FT,FTA,FT_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Plus.Minus,TS_percent,eFG_percent,ORB_percent,DRB_percent,TRB_percent,AST_percent,STL_percent,BLK_percent,TOV_percent,USG_percent,ORtg,DRtg,Season,WL,Year,TmPTS,All_star
1,10/28/09,OKC,SAC,0,12.98,2,2,1,1,1,1,0,0,0,0,2,2,0,0,0,0,3,5,3.8,-5,1.25,1.25,0,17.2,9.5,0,0,0,0,7.6,250,103,regular,W,2009,102,2
2,10/30/09,OKC,DET,0,16.63,1,6,0.167,0,1,0,0,0,0,1,1,2,8,0,0,0,3,2,3.6,17,0.167,0.167,6.7,6.4,6.6,76.7,0,0,0,17.3,89,100,regular,W,2009,91,2
3,11/1/09,OKC,POR,0,17.87,2,9,0.222,2,3,0.667,0,0,0,1,2,3,2,1,1,1,2,6,3.1,4,0.333,0.333,6.1,15.4,10.2,28.8,3.3,5.6,10,26.8,82,96,regular,L,2009,74,2
4,11/3/09,OKC,LAL,0,17.07,3,9,0.333,1,2,0.5,2,2,1,0,1,1,3,1,0,0,2,9,6.5,16,0.455,0.389,0,10,4.3,32.5,3.1,0,0,26.1,115,102,regular,L,2009,98,2
5,11/6/09,OKC,HOU,0,10.03,2,3,0.667,0,0,0,0,0,0,0,1,1,1,0,0,1,1,4,2.3,-8,0.667,0.667,0,12.9,6,15.7,0,0,25,17,104,116,regular,L,2009,94,2
6,11/8/09,OKC,ORL,0,19.22,2,5,0.4,0,1,0,1,2,0.5,1,3,4,5,2,0,0,3,5,7.8,0,0.425,0.4,10,15,13.3,35.7,5.7,0,0,16,127,76,regular,W,2009,102,2
7,11/10/09,OKC,SAC,0,19.4,3,7,0.429,3,5,0.6,0,0,0,0,4,4,1,1,1,1,3,9,6.7,1,0.643,0.643,0,23,11.4,10.5,2.6,4,12.5,18.3,110,99,regular,L,2009,98,2
8,11/11/09,OKC,LAC,0,23.9,3,8,0.375,0,3,0,1,2,0.5,0,5,5,8,1,1,2,1,7,8.6,9,0.394,0.375,0,20.9,11.3,55.5,2.3,3.5,18.4,21.3,92,86,regular,W,2009,83,2
9,11/14/09,OKC,SAS,0,19.95,3,6,0.5,0,1,0,2,3,0.667,1,1,2,1,1,1,2,4,8,4.4,-3,0.546,0.5,6,6.3,6.2,8.4,2.6,3.9,21.5,21.2,95,104,regular,W,2009,101,2
10,11/15/09,OKC,LAC,0,17.63,0,8,0,0,5,0,4,4,1,1,2,3,2,1,0,2,1,4,-0.3,-9,0.205,0,5.7,13,9.1,16.5,3.1,0,17,29.2,56,111,regular,L,2009,93,2
11,11/17/09,OKC,MIA,0,14.27,1,3,0.333,1,3,0.333,2,2,1,0,2,2,0,0,0,2,4,5,0.3,6,0.644,0.5,0,16.4,8.7,0,0,0,34,20.3,85,103,regular,W,2009,100,2
12,11/18/09,OKC,ORL,0,30.85,7,14,0.5,6,7,0.857,4,4,1,0,3,3,3,1,0,1,2,24,19.2,5,0.761,0.714,0,10.1,5.2,20.2,1.6,0,6,24.8,140,115,regular,L,2009,94,2
13,11/20/09,OKC,WAS,0,26.4,8,11,0.727,4,6,0.667,5,6,0.833,3,1,4,1,4,0,2,5,25,23.2,4,0.916,0.909,15.6,3.9,8.9,6.2,7.4,0,12.8,25.3,166,103,regular,W,2009,127,2
14,11/22/09,OKC,LAL,0,30.35,2,15,0.133,0,10,0,6,6,1,0,3,3,6,3,2,3,3,10,5.6,-4,0.283,0.133,0,9.3,4.7,32.9,5,3.7,14.5,28.4,71,101,regular,L,2009,85,2
15,11/24/09,OKC,UTA,0,19.63,4,5,0.8,1,2,0.5,1,1,1,0,2,2,1,0,0,0,1,10,9,6,0.919,0.9,0,13.6,7.2,9,0,0,0,12.9,181,105,regular,W,2009,104,2
16,11/27/09,OKC,MIL,0,27.3,6,7,0.857,3,3,1,0,2,0,1,1,2,2,1,0,2,3,15,11.9,1,0.952,1.071,4.1,3.6,3.8,12.8,1.9,0,20.2,16.3,140,104,regular,W,2009,108,2
17,11/29/09,OKC,HOU,0,19.27,1,4,0.25,0,1,0,3,4,0.75,0,3,3,0,2,0,1,3,5,2.9,-12,0.434,0.25,0,14.9,9.2,0,5.5,0,14.8,16.4,82,102,regular,L,2009,91,2
18,12/2/09,OKC,PHI,0,27.02,3,7,0.429,1,3,0.333,2,2,1,3,2,5,1,0,0,3,1,9,5.3,12,0.571,0.5,13.3,11.1,12.3,4.7,0,0,27.6,17.7,104,128,regular,W,2009,117,2
19,12/4/09,OKC,BOS,0,23.45,1,6,0.167,0,3,0,4,6,0.667,0,5,5,1,1,0,1,1,6,3.2,3,0.347,0.167,0,31,14.6,6.8,2.4,0,10.4,20.7,72,117,regular,L,2009,87,2
20,12/7/09,OKC,GSW,0,29.67,6,13,0.462,1,4,0.25,13,14,0.929,2,7,9,5,2,0,0,2,26,27.1,17,0.678,0.5,6.6,25.2,15.5,32,3.2,0,0,26.6,158,85,regular,W,2009,104,2
21,12/11/09,OKC,MEM,0,23.12,2,11,0.182,0,2,0,2,2,1,2,3,5,4,2,1,1,1,6,5.5,5,0.253,0.182,9.4,11.5,10.6,23.8,4.6,2.8,7.8,24.9,79,97,regular,W,2009,102,2
22,12/13/09,OKC,CLE,0,20.92,1,3,0.333,0,0,0,1,2,0.5,1,1,2,2,0,0,2,2,3,0.5,-7,0.387,0.333,6.2,5.6,5.9,16.6,0,0,34,13.8,72,120,regular,L,2009,89,2
23,12/14/09,OKC,DEN,0,23.7,3,7,0.429,1,1,1,2,2,1,2,1,3,5,0,0,4,4,9,4.9,1,0.571,0.5,10.7,4.7,7.5,40.6,0,0,33.7,21.4,94,115,regular,L,2009,93,2
24,12/16/09,OKC,DAL,0,28.95,3,9,0.333,0,4,0,6,9,0.667,2,4,6,1,1,0,3,2,12,6.2,-15,0.463,0.333,6.9,17.9,11.7,5.7,1.9,0,18.8,25.2,88,113,regular,L,2009,86,2
